COUNTRY$;URBAN;BIRTH_RT;DEATH_RT;BABYMORT;LIFE_EXP;GDP_CAP;EDUC;HEALTH;MIL;LIFEEXPF;LITERACY
Austria;55;12;11;6;73;13500.29924;605.2631579;532.1052632;127.2368421;80;98
Belgium;91;12;11;6;73;13724.50182;518.0808081;524.9494949;283.9393939;80;98
Denmark;83;12;11;6;74;14363.06431;966.0784314;691.9607843;269.6078431;79;99
France;73;14;9;6;75;14542.65717;648.0685921;728.2490975;432.7797834;82;99
Switzerland;58;12;9;5;76;17723.49888;853.5384615;1209.076923;330.7692308;83;99
UK;76;14;11;7;73;14259.40088;474.4876325;479.0636042;447.4734982;79;99
Italy;69;10;9;6;74;13930.6044;373.1643357;417.9370629;210.8391608;81;93
Sweden;83;13;11;6;76;15563.33213;1039.047619;1092.261905;394.6428571;81;99
WGermany;94;11;11;6;74;15211.95638;544.1515651;763.0313015;373.6573311;81;99
Poland;59;14;9;13;71;4563.656711;227.44;201.2533333;167.04;77;98
Czechoslov;67;14;11;11;71;7855.522656;241.6774194;278.7741935;272.7741935;76;99
Iraq;68;46;7;67;59;1863.509137;87.875;19;760;68;55
Ethiopia;14;45;15;116;43;127.742041;4.943052392;1.184510251;10.13667426;52;55.200001
Guinea;19;47;22;147;40;343.9149072;9.193548387;3.064516129;9.193548387;44;20
Libya;52;37;7;64;58;4738.055422;538.974359;160;640.5128205;70;50
Somalia;30;47;15;125;43;201.7979245;11.92307692;0.384615385;8.846153846;54;11.6
Afghanistan;16;44;18;154;37;189.1277636;1;3.2987165;7.29864;46;12
Argentina;82;20;9;32;70;2229.7258;42.08333333;35.06410256;35.06410256;74;94
Brazil;68;26;7;69;63;2472.04893;59.448709;22.72854152;16.25959525;68;76
Canada;76;14;7;7;75;19353.21379;1052.8125;936.2109375;316.796875;81;99
Chile;81;21;6;18;70;1933.830585;67.72357724;26.91056911;47.39837398;77;94
Colombia;64;27;5;38;64;1070.256343;35.2;10.1;12.23333333;73;88
Uruguay;84;17;10;22;69;2897.920742;58;22;47;76;94
Ecuador;44;30;7;61;64;932.7409984;40.10416667;12.08333333;18.125;68;85
ElSalvador;39;34;7;49;65;1035.807878;17.64705882;7.647058824;29.01960784;68;65
Guatemala;39;37;9;61;59;1187.121578;22.20930233;8.139534884;15.34883721;65;50
Haiti;26;45;16;107;53;390.7432278;4.576271186;3.220338983;5.593220339;55;23
Peru;65;28;8;67;59;862.7929533;18.21782178;11.53465347;74.40594059;66;80
Panama;49;26;5;22;71;1607.982189;120.4545455;116.8181818;43.18181818;76;90
Cuba;69;18;7;12;73;1967.966589;121.5686275;62.74509804;145.0980392;78;98.5
