Mileage;Price;Year
25500;6800;1985
23035;9500;1987
39000;13500;1988
33200;16500;1988
16000;25000;1989
30000;25000;1990
22000;25000;1988
14500;40000;1991
41000;6500;1986
23200;7000;1986
27000;8000;1985
37000;8500;1986
39000;8500;1987
34035;9000;1986
30000;9500;1988
27000;9500;1986
35200;9500;1987
35000;9900;1986
27800;9900;1988
28000;9900;1985
31000;9900;1987
24800;9999;1985
31500;9999;1987
23000;11000;1991
34000;11000;1985
30000;11500;1988
30600;12000;1988
24400;12900;1988
25038;12900;1987
21000;13000;1987
31800;13000;1988
24300;13500;1987
37000;14000;1988
26000;14500;1986
23000;14700;1988
23000;14900;1987
27000;14900;1985
26700;14900;1988
20500;14900;1988
35800;14900;1988
30200;14900;1990
38500;15500;1988
36000;15500;1987
30000;15900;1987
36000;17500;1987
25400;18000;1988
60100;18000;1991
27000;18001;1989
25000;18900;1988
31000;19000;1990
31596;19000;1987
20681;19500;1987
36000;19500;1990
35241;19500;1988
19500;19500;1988
21880;19500;1987
19939;19500;1988
26400;19500;1991
20000;19900;1989
26000;19900;1990
21600;19900;1987
30500;20000;1990
29000;20000;1990
25700;20500;1990
24000;21000;1988
38000;22500;1987
22400;22900;1989
18000;22900;1990
17900;24000;1988
22400;24000;1988
28000;25000;1987
25227;25000;1988
22800;25000;1989
30000;29000;1989
29100;29000;1990
24500;29000;1990
22900;29000;1990
27050;29500;1989
24805;29500;1990
22700;29700;1989
31067;29900;1991
23504;30000;1990
23000;32000;1990
24000;32500;1990
25000;32500;1987
25000;35000;1991
26110;36500;1990
8300;39000;1990
16200;39500;1990
27900;39800;1988
22500;57000;1991
